,name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18,Hip Historic Brownstone Apartment with Backyard,Adam And Charity,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,6/22/2019,4.44,1,21
19,Huge 2 BR Upper East  Cental Park,Sing,Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,,0.0,2,249
20,Sweet and Spacious Brooklyn Loft,Chaya,Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,12/28/2011,0.07,1,0
21,CBG CtyBGd HelpsHaiti rm#1:1-4,Lisel,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,7/1/2019,1.09,6,347
22,CBG Helps Haiti Room#2.5,Lisel,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,1/1/2019,0.37,6,364
23,CBG Helps Haiti Rm #2,Lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,7/2/2019,0.61,6,304
24,"MAISON DES SIRENES1,bohemian apartment",Nathalie,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,6/19/2019,0.73,2,233
25,Sunny Bedroom Across Prospect Park,Gregory,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,6/23/2019,1.37,2,85
26,Magnifique Suite au N de Manhattan - vue Cloitres,Claude & Sophie,Manhattan,Inwood,40.86754,-73.92639,Private room,80,4,0,,0.0,1,0
27,Midtown Pied-a-terre,Tommi,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,8/13/2017,0.49,1,75
28,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Shon,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,6/15/2019,1.11,3,311
29,Modern 1 BR / NYC / EAST VILLAGE,Dana,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,4/19/2019,0.24,1,67
30,front room/double bed,Ssameer Or Trip,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,6/1/2019,2.04,3,355
31,Spacious 1 bedroom in luxe building,Teri,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,6/14/2019,1.42,1,255
32,Loft in Williamsburg Area w/ Roof,Andrea,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,6/15/2019,1.65,3,284
33,back room/bunk beds,Ssameer Or Trip,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,7/1/2019,2.37,3,359
34,Large B&B Style rooms,Angela,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,5/12/2019,0.66,2,269
35,"Lovely room 2 & garden; Best area, Legal rental",Laurie,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,6/21/2019,1.41,3,340
36,Clean and Quiet in Brooklyn,Vt,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,Private room,35,60,0,,0.0,1,365
37,Cute apt in artist's home,Tyrome,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,6/22/2019,1.96,2,22
38,Country space in the city,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,,0.0,1,365
39,LowerEastSide apt share shortterm 1,Ben,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,7/5/2019,1.81,4,188
40,ENJOY Downtown NYC!,Edward,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,6/21/2019,2.08,2,96
41,Beautiful Sunny Park Slope Brooklyn,Abdul,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,5/27/2019,0.39,1,345
42,1bdr w private bath. in lofty apt,Yolande,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,9/30/2018,0.23,1,311
43,West Side Retreat,Cyn,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,6/16/2019,0.69,1,273
44,BEST BET IN HARLEM,Earl,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,6/13/2019,0.84,1,309
45,Entire apartment in central Brooklyn neighborhood.,Rana,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,6/5/2019,0.49,1,95
46,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Orestes,Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,7/1/2019,2.25,1,215
47,Charming Brownstone 3 - Near PRATT,Adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,5/25/2019,0.52,1,265
48,bright and stylish duplex,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,1/1/2017,0.1,1,0
49,Fort Greene brownstone ,Alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,6/17/2019,1.16,2,192
50,Blue Room for 2 in Brownstone for $1350 monthly,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,6/16/2019,1.01,3,251
51,Cozy 1BD on Central Park West in New York City,Joya,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,7/7/2019,0.63,1,302
52,* ORIGINAL BROOKLYN LOFT *,James,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,5/17/2019,0.7,1,140
53,Greenpoint Place...Has It All! ,Jeanne,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,6/29/2019,2.82,1,234
54,Beautiful Apartment in Manhattan!!!,Francesca,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,3/25/2019,0.22,1,257
55,Williamsburg 1 bedroom Apartment,Joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,6/22/2019,0.9,1,30
56,"Great Location, Manhattan Bedroom!",Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,5/18/2019,0.17,1,301
57,Best Location in NYC! TIMES SQUARE!,Luiz,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,6/9/2019,2.49,2,294
58,Room in Greenpoint Loft w/ Roof,Andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,6/4/2019,1.19,3,320
59,**Bright Nolita Apt w Doorman/Elevators/Gym**,Ted,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,6/29/2019,0.3,1,154
60,"Very, very cozy place",Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,6/30/2019,0.38,1,263
61,Sunny & Spacious Chelsea Apartment,Petra,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,180,5,11/3/2018,0.12,1,180
62,2 bedroom - Upper East Side-great for kids,D,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,3/30/2019,0.57,2,231
63,Comfortable 4-bedroom apt in family house.,Dimitri,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,1/26/2019,1.33,2,297
64,Double Room w Private Deck Clinton Hill Best Area,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,9/30/2017,0.23,2,292
65,Your Heaven in Hells Kitchen,Mark,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,5/16/2019,1.65,1,191
66,Light-filled 2B duplex in the heart of Park Slope!,Sara,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,9/24/2017,0.16,1,0
67,"Sunny, Modern room in East Village!",Reka,Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,7/1/2019,4.72,2,72
68,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Daniel,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,6/23/2019,1.4,1,362
69,Large Room in Amazing East Village Apt,Casey,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,6/21/2019,1.26,2,336
70,SpaHa Loft: Enormous and Bright,Robin,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,6/23/2019,1.64,1,215
71,Lovely EV Artist's Home,Anna,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,5/14/2018,0.43,1,116
72,Cool Room in Hell's Kitchen,Enzo,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,6/1/2019,0.43,1,88
73,"HARLEM, NEW YORK WELCOMES YOU!!",Tye And Etienne,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,6/18/2019,1.6,2,336
74,BLUE TRIM GUEST HOUSE,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,6/26/2019,0.92,1,304
75,Charming East Village One Bedroom Flat,Josh,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,1/2/2019,0.2,1,224
76,Manhattan Room,Victoria,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,7/6/2019,1.5,1,322
77,Little King of Queens,Justin,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,5/31/2019,0.22,1,324
78,Fort Greene Retreat on the Park,Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,6/16/2019,1.28,1,132
79,Beautiful Meatpacking District Loft,DAVID And RICK,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,5/28/2019,1.65,1,295
80,Cozy 2 BR in Williamsburg ,Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,4/22/2019,0.54,4,238
81,Spacious luminous apt Upper West NYC,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,3/23/2019,0.49,1,209
82,Entire 2 Bedroom - Large & Sunny,JoLynn,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,6/30/2019,0.62,1,328
83,"Sunny, Spacious Top Floor Haven",Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,6/15/2019,0.15,1,38
84,Private room Great Deal at Lower East Side,Ana,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,4/8/2019,0.84,1,188
85,perfect for a family or small group,Maggie,Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,800,1,25,8/4/2016,0.24,1,7
86,2 bedroom Williamsburg Apt - Bedford L stop,Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,8/9/2018,0.53,1,272
87,Oh glorious spring!,Edward,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,6/30/2019,1.73,1,26
88,Great Location for NYC,Pas,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,2/14/2016,0.05,1,0
89,Cozy Bedroom in Williamsburg 3 BR,Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,6/22/2019,1.54,4,288
90,Sunny room+Pvte office in huge loft,Augustin,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,5/26/2019,0.28,1,317
91,Spacious Prospect Heights Apartment,Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,6/27/2019,3.4,1,207
92,"Large Parlor Room, Landmark Home 1 block to PRATT",Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,5/31/2019,0.2,6,185
93,2-bed brownstone duplex + garden,Tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,5/21/2019,0.3,1,158
94,Charming 1 bed GR8 WBurg LOCATION!,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,7/22/2018,1.57,1,0
95,Sunny Apartment in Artist Home,Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,6/18/2019,1.05,2,9
96,Light-filled classic Central Park ,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,7/7/2019,0.71,1,198
97,"Upper Manhattan, New York",Elliott,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,10/9/2018,0.11,1,365
98,COZY QUIET room 4 DOOGLERS!,Olan,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,5/1/2019,0.27,2,364
99,The Stuydio Modern and Light Filled,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,10/28/2018,1.23,2,311
100,loft bed - near transportation-15min to times sq,Ssameer Or Trip,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,1/3/2019,0.87,3,219
101,House On Henry (3rd FLR Suite),Annette,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,6/24/2019,2.09,3,342
102,Monkey Retreat Manhattan,Meka,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,11/1/2012,0.6,1,312
103,2000 SF 3br 2bath West Village private  townhouse,Ann,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,5/18/2019,0.55,2,243
104,"Williamsburg—Steps To Subway, Private Bath&Balcony",Seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,5/29/2019,3.02,1,152
105,Beautiful Duplex Apartment,Brenda,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,11/2/2018,0.79,1,9
106,Large 2 Bedroom Great for Groups!,Shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,6/28/2019,1.46,2,137
107,"Modern Brooklyn Apt., August sublet",Erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,5/26/2018,0.4,1,222
108,"1,800 sq foot in luxury building",Dena,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,6/23/2019,1.61,1,346
109,Sunny 2-story Brooklyn townhouse w deck and garden,Jessica,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,3/17/2017,0.2,1,208
110,"Times Square, Safe, Clean and Cozy!",Luiz,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,6/16/2019,3.0,2,279
111,"Cozy Room #3, Landmark Home 1 Block to PRATT",Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,6/2/2019,0.2,6,250
112,Beautiful Apartment East Village,Sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,12/11/2017,0.13,1,164
113,Park Slope Green Guest House,Dani,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,12/30/2018,4.22,2,192
114,2 BR / 2 Bath Duplex Apt with patio! East Village,Bruce,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,8/9/2017,0.06,4,298
115,NYC fabulous views Manhattan's eye,Nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,12/2/2015,0.38,1,260
116,2 story family home in Williamsburg,Alexandra,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,6/23/2019,3.01,1,107
117,Comfortable UWS 2-BD Family-Friendly Brownstone,Stacy,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,4/27/2019,0.27,1,199
118,Great Large 1 BR apt  in East Village!,Bruce,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,6/7/2019,1.05,4,299
119,Eveland Private Bed & Living Room w/ Own Entrance,Evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,5/20/2019,3.2,3,20
120,Sugar Hill Rest Stop ,Emma,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,7/1/2019,2.03,1,318
121,3 Story Town House in Park Slope,Vero,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,12/30/2018,0.24,2,216
122,apartment next to Central park,Sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,6/26/2019,0.12,1,224
123,East Village Sanctuary,Jen,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,12/10/2011,0.23,1,0
124,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,10/5/2018,0.08,1,324
125,Modern Apt with Spectacular Views,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,9/18/2011,0.08,1,245
126,Garden studio in the Upper East Sid,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,8/15/2017,0.19,1,189
127,Secluded Master Bedroom in Beautiful Huge Apt,Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,8/17/2017,0.33,1,307
128,B & B Room 1,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,5/14/2019,0.58,2,310
129,ACCOMMODATIONS GALORE #1,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,6/20/2019,1.42,3,213
130,Sunny Room in New Condo,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,7/3/2019,2.35,1,278
131,Stylish & Sleek Apartment Near SoHo!,Uli,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,6/25/2019,0.66,1,209
132,NYC artists’ loft with roof deck,Sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,5/20/2019,1.86,1,0
133,Unique & Charming small 1br Apt. LES,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,6/14/2019,0.29,1,16
134,Most Central Location!,Lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,5/26/2019,0.45,3,234
135,Luminous Beautiful West Village Studio,Tom,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,7/1/2019,0.25,1,12
136,Sanctuary in East Flatbush,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,1/1/2019,0.02,1,178
137,Room with En Suite Bathroom & Deck,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,6/24/2019,3.89,3,275
138,FLAT MACDONOUGH,Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,6/23/2019,2.09,2,163
139,Huge Private  Floor at The Waverly,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,7/1/2019,0.77,3,365
140,"Modern Greenpoint, Brooklyn Apt",Ali+Scott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,7/30/2017,0.03,1,34
141,"Sun-drenched, artsy modernist 1 BDRM duplex",Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,6/11/2018,0.1,1,280
142,"Sunny, Cobble Hill Apartment",Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,4/24/2016,0.04,1,0
143,Fully Furnished Basement Apartment,Fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,9/19/2011,0.01,1,1
144,FLAT MACDONOUGH GARDEN,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,6/20/2019,1.72,2,170
145,Light filled Williamsburg Apartment,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,7/2/2019,0.11,1,188
146,Retreat in Williamsburg,Ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,6/17/2019,2.19,1,214
147,NYC Zen,Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,6/17/2019,0.28,1,248
148,Cozy BR in Wiliamsburg 3 Bedroom,Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,6/22/2019,1.86,4,262
149,Sunny Room in Old Historical Brooklyn Townhouse,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,6/29/2019,1.05,5,280
150,Sun Filled Classic West Village Apt,Karen,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,6/22/2019,0.74,1,307
151,Lg Rm in Historic Prospect Heights,Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,5/10/2013,0.09,1,339
152,Classic Artist Loft Williamsburg,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,6/13/2019,1.61,1,1
153,Great location. Spacious on PROSPECT PARK,Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,8/27/2018,0.05,1,269
154,Private Bdrm/Bathrm. New! Elevator!,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,5/29/2017,0.32,1,10
155,"Sunny, clean 1 bdrm in W. Village",Karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,3/31/2019,1.24,1,312
156,Great location in Williamsburg,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,12/27/2018,0.25,1,189
157,Light and Airy Upper East Side 1 BDR apartment,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,6/26/2019,1.16,2,290
158,Luxury Brownstone in Boerum Hill,Sarah,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,12/31/2018,0.27,1,230
159,CENTRAL PARK LOFT all for YOU,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,6/8/2019,2.6,2,164
160,Indie-Chic Share In Williamsburg,Gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,5/28/2019,1.86,2,53
161,"A room w/ a Manhattan view, longer stay",Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,4/12/2019,0.26,1,126
162,"Private, Large & Sunny 1BR w/W&D",Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,6/22/2019,2.86,2,3
163,Luxurious Condo in DUBMO with View,Henry,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,4/25/2011,0.13,1,189
164,Charming & Cozy midtown loft any WEEK ENDS  !!!,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,9/23/2016,0.08,1,365
165,* Spacious GARDEN Park Slope Duplex* 6 people max,Syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,7/6/2019,2.17,1,0
166,Convenient cozy cheap apt Manhattan,Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,11/2/2015,0.04,1,0
167,Parlor Room In Victorian Townhouse,Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,6/24/2019,3.47,3,336
168,House On Henry (2nd FLR Suite),Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,6/18/2019,1.4,3,342
169,New York room with a view,Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,6/13/2019,1.66,1,312
170,Sunny cozy room in Brklyn townhouse,Tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,6/19/2019,0.94,1,37
171,Room with a View,Waundell,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,7/4/2019,2.04,3,353
172,Light+Open+Airy+Rustic+Modern Loft,Young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,7/6/2016,1.78,1,177
173,West Inn 2 - East Village,Bruce,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,6/23/2019,0.78,4,310
174,Financial District Luxury Loft,Coral,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,6/20/2019,1.06,1,0
175,BROOKLYN VICTORIAN STYLE SUITE.....,Carol,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,6/24/2019,2.0,2,321
176,Your own Lovely West Village Studio,Sara,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,6/1/2019,0.8,1,246
177,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Laurine,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,5/26/2019,0.75,3,231
178,Greenwich Village Stylish Apartment,Myrna,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,4/20/2016,0.36,1,225
179,Clean and Cozy Harlem Apartment,Campbell,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,12/17/2018,1.79,1,0
180,"Fort Greene, Brooklyn: Center Bedroom",Doug,Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,6/30/2019,1.92,2,0
181,Beautiful Queens Brownstone! - 5BR,Mark,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,5/12/2019,0.11,5,365
